pk_column,requested_datetime,closed_date,updated_datetime,open,closed,service_name,lat,long,district,deltaDate
21060,2016-11-19T01:01:00,2017-01-19T00:02:00,2017-01-19T00:02:00,0,1,Graffiti,32.7550536,-117.1205564,9,61
21061,2016-11-19T00:53:00,2017-03-19T10:16:00,2017-09-07T10:36:00,0,1,Graffiti,32.7558689,-117.112229,3,120
21062,2016-11-19T00:51:00,2016-11-29T00:02:00,2016-11-29T00:02:00,0,1,Graffiti,32.7550376715,-117.112535794,9,10
21063,2016-11-19T00:31:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.7553945262,-117.116121853,3,7
21064,2016-11-19T00:30:00,2017-06-02T13:53:00,2017-06-02T13:53:00,0,1,Graffiti,32.7555257,-117.1160061,3,195
21065,2016-11-19T00:25:00,2016-11-22T00:02:00,2016-11-22T00:02:00,0,1,Graffiti,32.7498453716,-117.130245036,3,3
21066,2016-11-19T00:13:00,2016-11-22T00:02:00,2016-11-22T00:02:00,0,1,Graffiti,32.7512216801,-117.130299518,3,3
21067,2016-11-18T21:33:00,2017-10-27T07:45:00,2017-10-27T07:45:00,0,1,Graffiti,32.7458389574,-117.097704162,9,343
21068,2016-11-18T18:45:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.8006434033,-117.21075142,2,8
21069,2016-11-18T18:08:00,2017-01-27T00:02:00,2017-01-27T00:02:00,0,1,Graffiti,32.7494655666,-117.098163536,9,70
21070,2016-11-18T18:07:00,2017-01-13T00:03:00,2017-01-13T00:03:00,0,1,Graffiti,32.749446725,-117.097526923,9,56
21072,2016-11-18T16:54:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.721088,-117.161247,3,8
21073,2016-11-18T16:49:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.719248,-117.160274,3,8
21077,2016-11-18T15:28:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.5710592098,-117.054101826,8,8
21078,2016-11-18T14:02:00,2016-12-08T00:02:00,2017-09-18T13:37:00,0,1,Graffiti,32.749296,-117.08366,9,20
21079,2016-11-18T10:49:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.809121,-117.218041,2,8
21080,2016-11-18T10:22:00,2016-12-22T00:02:00,2016-12-22T00:02:00,0,1,Graffiti,32.8328182374,-117.20067437,6,34
21081,2016-11-18T10:22:00,2017-10-27T00:04:00,2017-10-27T00:04:00,0,1,Graffiti,32.6984551831,-117.110348375,9,343
21082,2016-11-18T09:09:00,2016-11-24T00:02:00,2016-11-24T00:02:00,0,1,Graffiti,32.7264840826,-117.09804313,9,6
21083,2016-11-18T07:45:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.7874425197,-117.174349117,7,8
21084,2016-11-18T06:52:00,2017-03-21T16:02:00,2017-03-21T16:02:00,0,1,Graffiti,32.7484781285,-117.126092686,3,123
21085,2016-11-18T05:45:00,2017-01-10T00:02:00,2017-01-10T00:02:00,0,1,Graffiti,32.9458693303,-117.08060434,5,53
21086,2016-11-18T00:06:00,2017-10-27T07:45:00,2017-10-27T07:45:00,0,1,Graffiti,32.757205,-117.093552,9,343
21087,2016-11-17T22:22:00,2017-06-02T13:57:00,2017-06-02T13:57:00,0,1,Graffiti,32.754927248,-117.13001411,3,197
21088,2016-11-17T18:49:00,2017-10-27T00:04:00,2017-10-27T00:04:00,0,1,Graffiti,32.756943,-117.107224,9,344
